-69.349998,-8.91,-228.25
-70.669998,-6.9,-230.160004
-68.059998,-10.63,-239.190002
-67.779999,-13.09,-232.470001
-66.419998,-10.9,-224.570007
-65,-13.29,-242.779999
-64.449997,-7.56,-243.649994
-65.949997,-2.44,-240.610001
-61.400002,-13.77,-230.550003
-68.160004,-0.71,-230.389999
-62.810001,-3.71,-219.190002
-57.939999,-9.2,-218.089996
-62.02,2.43,-226.919998
-63.099998,2.76,-234.429993
-59.779999,-4.38,-240.309998
-56.970001,-12.97,-238.070007
-56.150002,-18.52,-226.690002
-49.5,-9.13,-216.440002
-54.259998,-1,-213.809998
-56.810001,4.84,-217.639999
-52.080002,5.09,-213.179993
-53.150002,6.24,-223.610001
-54.810001,4.04,-234.029999
-52.470001,5.13,-237.449997
-51.490002,-0.91,-242.339996
-50.689999,-11.93,-241.550003
-47.509998,-3.4,-243.75
-46.73,-9.4,-243.389999
-46.740002,-10.31,-233.380005
-52.139999,-11.01,-226.630005
-43.919998,-9.1,-211.800003
-47.310001,0.36,-206.910004
-49,9.91,-210.369995
-50.919998,12.57,-222.889999
-49.939999,7.54,-240.380005
-40.290001,-9.16,-241.839996
-40.25,-9.73,-234.039993
-44.330002,-12.86,-226.380005
-39.810001,-12.12,-205.860001
-41.290001,-6.86,-203.589996
-39.369999,0.63,-203.669998
-45.68,7.46,-206.220001
-39.529999,5.01,-203.259995
-42.52,10.43,-204.470001
-46.34,14.42,-218.240005
-42.299999,15.77,-214.220001
-50.220001,13.06,-234.229996
-46.950001,13.52,-230.690002
-42.130001,11.68,-239.75
-37.110001,1.33,-244.309998
-35.34,-3.44,-245.110001
-33.080002,-8.56,-243.080002
-33.099998,-9.76,-232.779999
-35.529999,-11.54,-219.770004
-37.060001,-13.76,-214.059998
-35.18,-0.74,-200.880005
-35.349998,9.63,-202.550003
-36.240002,14.92,-206.679993
-40.119999,17.870001,-212.259995
-38.91,24.629999,-219.539993
-39.810001,25.450001,-225.330002
-41.869999,18.549999,-233.559998
-38.43,16.280001,-238.5
-36.139999,9.04,-242.979996
-26.940001,-8.78,-243.779999
-32.099998,-14.08,-202.399994
-30.459999,-7.39,-199.210007
-30.34,1.89,-199.860001
-25.719999,-8.51,-225.990005
-27.540001,-12.51,-212
-24.07,-17,-204.270004
-27.65,-11.63,-200.199997
-26.43,-3.16,-199.970001
-22.35,1.81,-198.369995
-27.559999,8.96,-199.289993
-30.65,14.59,-199.770004
-33.580002,19.530001,-202.110001
-38.09,25.639999,-208.089996
-32.299999,25.809999,-205.410004
-43.459999,32.990002,-215.5
-37.380001,31.209999,-212.130005
-35,28.700001,-225.660004
-28.02,26.73,-221.309998
-38.830002,27.51,-229.419998
-35.630001,22.59,-236.949997
-32.23,15.78,-242.089996
-30.1,11.39,-243.410004
-24.43,-1.86,-247.130005
-20.66,-6.83,-244.300003
-23.030001,-4.71,-237.429993
-21.68,-8.67,-232.520004
-21.41,-11.22,-226.220001
-22.16,-12.2,-218.779999
-21.110001,-17.92,-208.710007
-17.360001,-16.67,-202.789993
-14.44,-19.23,-204.529999
-17.25,-5.27,-226.779999
-16.92,-10.86,-199.130005
-16.110001,-1.4,-197.860001
-17.870001,8.8,-198.669998
-23.41,18.66,-201.229996
-26.139999,28.08,-205.610001
-31.48,33.650002,-212.279999
-22.459999,33.110001,-220.759995
-28.969999,34.610001,-230.729996
-26.540001,31.5,-238.570007
-23.83,21.620001,-241.669998
-24.780001,18.469999,-242.669998
-25.290001,24.139999,-239.130005
-20.51,15.28,-244.240005
-13.26,1.72,-247.169998
-17.129999,-1.08,-247.360001
-13.68,-6.02,-247.960007
-11.05,-9.14,-236.860001
-10.68,-6.73,-224.800003
-12.41,-10.01,-220.559998
-12.04,-10.33,-221.029999
-10.35,-10.04,-217.179993
-10.58,-18.219999,-210.600006
-7.98,-22.57,-204.080002
-11.75,-12.08,-198.660004
-11.47,2.35,-196.369995
-15.72,12.71,-198.479996
-19.719999,23.92,-203.169998
-24.98,33.18,-211.610001
-31.360001,39.220001,-219.380005
-19.209999,42.5,-226.460007
-21.42,33.169998,-235.009995
-14.12,-2.88,-247.259995
-5.9,-8.54,-221.339996
-8.04,-14.46,-214.360001
-5.33,-23.610001,-203.889999
-2.54,-19.120001,-198.460007
-3.13,-10.94,-195.800003
-3.44,-1.94,-194.559998
-7.16,9.23,-196.25
-11.76,19.5,-197.610001
-16.469999,27.190001,-201.320007
-22.82,35.349998,-207.619995
-17.15,35.610001,-219.089996
